0.171,0.302,0.224,0.148,0.066,0.044,0.024,0.014,0.001,0.001,0.001,0.002,0.002,0,0,0,0,0,0,0
0.156,0.338,0.212,0.131,0.087,0.036,0.019,0.01,0.007,0.003,0.001,0,0,0,0,0,0,0,0,0
0.344,0.392,0.16,0.065,0.023,0.012,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0
0.342,0.401,0.168,0.046,0.029,0.009,0.002,0.001,0.001,0.001,-2.22044604925031E-16,0,0,0,0,0,0,0,0,0
0.086,0.254,0.217,0.175,0.098,0.067,0.032,0.025,0.016,0.01,0.01,0.002,0.003,0.003,0.002,0,0,0,0,0
0.143,0.328,0.225,0.152,0.071,0.044,0.021,0.008,0.004,0.002,0.001,0,0.001,0,0,0,0,0,0,0
0.154,0.306,0.24,0.152,0.064,0.044,0.018,0.01,0.005,0.004,0.003,0,0,0,0,0,0,0,0,0
0.328,0.406,0.164,0.058,0.026,0.011,0.003,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,0
0.154,0.313,0.241,0.133,0.079,0.037,0.019,0.017,0.004,0.002,0.001,0,0,0,0,0,0,0,0,0
0.322,0.386,0.171,0.075,0.026,0.011,0.004,0.003,0.002,0,0,0,0,0,0,0,0,0,0,0
0.324,0.38,0.177,0.076,0.028,0.009,0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,0
0.107,0.246,0.189,0.177,0.105,0.063,0.036,0.035,0.021,0.009,0.007,0.001,0.001,0,0,0.002,0,0,0,0.00099999999999989
0.156,0.317,0.234,0.149,0.074,0.031,0.015,0.014,0.005,0.001,0.002,0.001,0.001,0,0,0,0,0,0,0
0.149,0.319,0.224,0.144,0.071,0.048,0.02,0.009,0.007,0.006,0.001,0,0,0.001,0,0,0,0,0.001,0
0.16,0.289,0.234,0.148,0.074,0.053,0.017,0.012,0.009,0.003,0.001,0,0,0,0,0,0,0,0,0
0.099,0.236,0.207,0.162,0.102,0.065,0.041,0.041,0.012,0.015,0.008,0.006,0.001,0.002,0.001,0.001,0,0.001,0,0
0.173,0.297,0.248,0.125,0.077,0.037,0.019,0.013,0.004,0.005,0.002,0,0,0,0,0,0,0,0,0
0.106,0.267,0.203,0.15,0.088,0.072,0.035,0.041,0.016,0.01,0.008,0.003,0.001,0,0,0,0,0,0,0
0.114,0.235,0.215,0.157,0.102,0.078,0.038,0.03,0.014,0.007,0.003,0.001,0.003,0.002,0.001,0,0,0,0,0
