0.287,0.386,0.197,0.077,0.036,0.011,0.004,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0
0.29,0.411,0.186,0.069,0.024,0.016,0.003,0.001,0,0,0,0,0,0,0,0,0,0,0,0
0.185,0.343,0.234,0.129,0.055,0.035,0.012,0.004,0,0.002,0.001,0,0,0,0,0,0,0,0,0
0.191,0.334,0.228,0.134,0.073,0.016,0.012,0.008,0.002,0.001,0,0.001,0,0,0,0,0,0,0,0
0.05,0.224,0.227,0.179,0.124,0.071,0.048,0.03,0.021,0.009,0.007,0.004,0.003,0.001,0.002,0,0,0,0,0
0.253,0.416,0.185,0.079,0.042,0.015,0.007,0.003,0,0,0,0,0,0,0,0,0,0,0,0
0.037,0.235,0.258,0.158,0.116,0.07,0.055,0.028,0.019,0.008,0.003,0.005,0.003,0.001,0.001,0.001,0.001,0.001,-2.22044604925031E-16,0
0.167,0.365,0.228,0.117,0.073,0.024,0.02,0.002,0.002,0.001,0,0,0.001,0,0,0,0,0,0,0
0.047,0.228,0.238,0.181,0.105,0.07,0.043,0.033,0.029,0.009,0.006,0.003,0.002,0.002,0.001,0,0,0.001,0,1.99999999999989E-03
0.164,0.35,0.239,0.134,0.067,0.023,0.015,0.006,0.001,0,0.001,0,0,0,0,0,0,0,0,0
0.165,0.381,0.214,0.127,0.063,0.031,0.011,0.006,0.001,0.001,0,0,0,0,0,0,0,0,0,0
0.049,0.225,0.242,0.178,0.105,0.074,0.05,0.023,0.025,0.016,0.005,0.004,0.002,0,0,0.001,0,0,0.001,0
0.055,0.218,0.241,0.15,0.133,0.084,0.046,0.03,0.023,0.009,0.002,0.002,0.003,0.001,0.001,0,0.002,0,0,0
0.288,0.368,0.207,0.085,0.031,0.015,0.005,0.001,1.11022302462516E-16,0,0,0,0,0,0,0,0,0,0,0
0.061,0.237,0.231,0.156,0.106,0.077,0.052,0.026,0.022,0.014,0.009,0.006,0.001,0.001,0,0.001,0,0,0,0
0.039,0.226,0.227,0.179,0.107,0.077,0.065,0.032,0.014,0.009,0.009,0.009,0.002,0.001,0.001,0.003,0,0,0,0
0.057,0.242,0.227,0.158,0.112,0.072,0.055,0.031,0.019,0.008,0.007,0.005,0.001,0.001,0.001,0.003,0.001,0,0,0
0.046,0.257,0.225,0.165,0.114,0.088,0.039,0.022,0.017,0.011,0.007,0.003,0.003,0,0.001,0,0.002,0,0,0
0.055,0.243,0.245,0.174,0.103,0.076,0.045,0.024,0.009,0.012,0.005,0.005,0.001,0,0.002,0.001,1.11022302462516E-16,0,0,0
