NCRAS_Draw	Stage	tAge	IR
Prostate	I	50	1.099527719533872
Prostate	I	51	6.8642679207893345
Prostate	I	52	12.569862120523812
Prostate	I	53	18.266719049177123
Prostate	I	54	23.9088806713396
Prostate	I	55	29.398881620250375
Prostate	I	56	34.63663935268226
Prostate	I	57	39.52194140745541
Prostate	I	58	43.96694954116693
Prostate	I	59	48.1686560657107
Prostate	I	60	52.60892444366591
Prostate	I	61	57.78203486950282
Prostate	I	62	64.18205194690329
Prostate	I	63	72.27352000178705
Prostate	I	64	81.85337969340908
Prostate	I	65	92.0516778409665
Prostate	I	66	101.9699664498728
Prostate	I	67	110.71006272895451
Prostate	I	68	117.40466086579251
Prostate	I	69	121.89898386687534
Prostate	I	70	124.74947830639776
Prostate	I	71	126.54125836686084
Prostate	I	72	127.8582680378738
Prostate	I	73	129.27161766651315
Prostate	I	74	131.03369714051888
Prostate	I	75	133.07751588316458
Prostate	I	76	135.32291538273995
Prostate	I	77	137.68895742275868
Prostate	I	78	140.09471002991586
Prostate	I	79	142.4982511368139
Prostate	II	50	2.579363695057771
Prostate	II	51	5.475287269533325
Prostate	II	52	8.436000443163605
Prostate	II	53	11.40323253992612
Prostate	II	54	14.3542240606365
Prostate	II	55	17.252963444676702
Prostate	II	56	20.063573954743273
Prostate	II	57	22.750473478249365
Prostate	II	58	25.284221341268108
Prostate	II	59	27.773655004442684
Prostate	II	60	30.46590463529523
Prostate	II	61	33.61416360519311
Prostate	II	62	37.47156146312192
Prostate	II	63	42.27465119432884
Prostate	II	64	47.882807729256534
Prostate	II	65	53.77855827501165
Prostate	II	66	59.4282921841669
Prostate	II	67	64.29846583766518
Prostate	II	68	67.87409432874597
Prostate	II	69	70.07086781851824
Prostate	II	70	71.23408080742077
Prostate	II	71	71.72571689054813
Prostate	II	72	71.9063960135219
Prostate	II	73	72.12828403774886
Prostate	II	74	72.54719043789711
Prostate	II	75	73.12284319696228
Prostate	II	76	73.80757919287245
Prostate	II	77	74.55399209568935
Prostate	II	78	75.31535265270877
Prostate	II	79	76.06779678701274
Prostate	III	50	0.1624968416716227
Prostate	III	51	2.794881301922618
Prostate	III	52	5.384425710359028
Prostate	III	53	7.969923590473523
Prostate	III	54	10.572726558165671
Prostate	III	55	13.228907605848107
Prostate	III	56	15.974646638902948
Prostate	III	57	18.845896457648458
Prostate	III	58	21.880915370778556
Prostate	III	59	25.173526190695956
Prostate	III	60	28.87305539924379
Prostate	III	61	33.13111080415256
Prostate	III	62	38.09929470739103
Prostate	III	63	43.91813769014384
Prostate	III	64	50.47012569086662
Prostate	III	65	57.37961034551169
Prostate	III	66	64.25971066370155
Prostate	III	67	70.72352770006705
Prostate	III	68	76.39424579140132
Prostate	III	69	81.12541947099297
Prostate	III	70	85.00144330507393
Prostate	III	71	88.11712459831958
Prostate	III	72	90.56631643507548
Prostate	III	73	92.44005164901947
Prostate	III	74	93.83126527960694
Prostate	III	75	94.83764960824162
Prostate	III	76	95.55860074469163
Prostate	III	77	96.09679777646257
Prostate	III	78	96.55700381153054
Prostate	III	79	96.99456619789083
Prostate	IV	50	1.2974311034456827
Prostate	IV	51	2.5135455648551988
Prostate	IV	52	3.766856480445563
Prostate	IV	53	5.025694798428675
Prostate	IV	54	6.319727064424576
Prostate	IV	55	7.7116959411288235
Prostate	IV	56	9.265982057541123
Prostate	IV	57	11.047028440961034
Prostate	IV	58	13.117733684937328
Prostate	IV	59	15.505688003863266
Prostate	IV	60	18.2031788995475
Prostate	IV	61	21.20100934323682
Prostate	IV	62	24.490267225109857
Prostate	IV	63	28.062007165802758
Prostate	IV	64	31.894468018124275
Prostate	IV	65	35.9521223687547
Prostate	IV	66	40.198106267194476
Prostate	IV	67	44.59524148615253
Prostate	IV	68	49.10616933562724
Prostate	IV	69	53.684742783906195
Prostate	IV	70	58.277932600859714
Prostate	IV	71	62.83627862545514
Prostate	IV	72	67.31380875935449
Prostate	IV	73	71.66816780125482
Prostate	IV	74	75.89888034140498
Prostate	IV	75	80.04488083549867
Prostate	IV	76	84.14346787053643
Prostate	IV	77	88.22917996842348
Prostate	IV	78	92.3336034547006
Prostate	IV	79	96.47161365718102
Cervix	I	50	2.6441816566790353
Cervix	I	51	2.5881296497674
Cervix	I	52	2.5325049512652775
Cervix	I	53	2.4773058878474976
Cervix	I	54	2.422762845013634
Cervix	I	55	2.3693123963980534
Cervix	I	56	2.3173632366780104
Cervix	I	57	2.2672929899184564
Cervix	I	58	2.219263718946502
Cervix	I	59	2.16897918260686
Cervix	I	60	2.1076588053541374
Cervix	I	61	2.026232769051639
Cervix	I	62	1.9154382591803212
Cervix	I	63	1.7662538978033064
Cervix	I	64	1.583349369471574
Cervix	I	65	1.3856249271789969
Cervix	I	66	1.1932941844954734
Cervix	I	67	1.0278804627537002
Cervix	I	68	0.911875346888907
Cervix	I	69	0.8515040750221334
Cervix	I	70	0.8349095710584892
Cervix	I	71	0.8485156396243863
Cervix	I	72	0.8782963307123876
Cervix	I	73	0.91038073563716
Cervix	I	74	0.9380951659797632
Cervix	I	75	0.9620374895342622
Cervix	I	76	0.983142577205589
Cervix	I	77	1.0023925458230674
Cervix	I	78	1.0208094670877979
Cervix	I	79	1.0389448059469348
Cervix	II	50	1.1557987863471333
Cervix	II	51	1.2097597199117331
Cervix	II	52	1.2634525277784974
Cervix	II	53	1.3168447467434705
Cervix	II	54	1.368988725777704
Cervix	II	55	1.4180426347928308
Cervix	II	56	1.4621548342925932
Cervix	II	57	1.4994957879439905
Cervix	II	58	1.5282918042007936
Cervix	II	59	1.5477859310036428
Cervix	II	60	1.5582351204315517
