"","V1","V2","V3","V4"
"1",1,0.168326771218795,0.168326771218795,0.168326771218795
"2",0,0.831673228781205,0.382741476005415,0.382741476005415
"3",0,0,0.44893175277579,0.144314354618169
"4",0,0,0,0.304617398157621
"5",1,0.333447318223897,0.333447318223897,0.333447318223897
"6",0,0.666552681776102,0.314420465257041,0.314420465257041
"7",0,0,0.352132216519061,0.0927597106959829
"8",0,0,0,0.259372505823078
"9",1,0.469203543467023,0.469203543467023,0.469203543467023
"10",0,0.530796456532977,0.0839285310539346,0.0839285310539346
"11",0,0,0.446867925479043,0.184137418503496
"12",0,0,0,0.262730506975546
"13",1,0.625213721669808,0.625213721669808,0.625213721669808
"14",0,0.374786278330192,0.111834767629368,0.111834767629368
"15",0,0,0.262951510700824,0.15844835144433
"16",0,0,0,0.104503159256494
"17",1,0.0230920347336363,0.0230920347336363,0.0230920347336363
"18",0,0.976907965266363,0.34780134620202,0.34780134620202
"19",0,0,0.629106619064343,0.294219210179019
"20",0,0,0,0.334887408885325
"21",1,0.0961867264107397,0.0961867264107397,0.0961867264107397
"22",0,0.90381327358926,0.336423757672254,0.336423757672254
"23",0,0,0.567389515917007,0.207980896298398
"24",0,0,0,0.359408619618609
"25",1,0.552125341751605,0.552125341751605,0.552125341751605
"26",0,0.447874658248394,0.207760160852572,0.207760160852572
"27",0,0,0.240114497395822,0.0488511267136519
"28",0,0,0,0.19126337068217
"29",1,0.128248968547652,0.128248968547652,0.128248968547652
"30",0,0.871751031452348,0.226760669838512,0.226760669838512
"31",0,0,0.644990361613836,0.270220255796229
"32",0,0,0,0.374770105817606
"33",1,0.437099228886688,0.437099228886688,0.437099228886688
"34",0,0.562900771113312,0.278392054306497,0.278392054306496
"35",0,0,0.284508716806816,0.0934522506702352
"36",0,0,0,0.191056466136581
"37",1,0.0378439579320943,0.0378439579320943,0.0378439579320943
"38",0,0.962156042067906,0.0913463492433323,0.0913463492433323
"39",0,0,0.870809692824573,0.03493396651517
"40",0,0,0,0.835875726309404
"41",1,0.0242998045669237,0.0242998045669237,0.0242998045669237
"42",0,0.975700195433076,0.0152329177804605,0.0152329177804605
"43",0,0,0.960467277652616,0.0612664976712833
"44",0,0,0,0.899200779981333
"45",1,0.0230920347336363,0.0230920347336363,0.0230920347336363
"46",0,0.976907965266363,0.34780134620202,0.34780134620202
"47",0,0,0.629106619064343,0.294219210179019
"48",0,0,0,0.334887408885325
"49",1,0.23841776121092,0.23841776121092,0.23841776121092
"50",0,0.76158223878908,0.264942483704656,0.264942483704656
"51",0,0,0.496639755084424,0.0962734452227989
"52",0,0,0,0.400366309861625
"53",1,0.192373452821479,0.192373452821479,0.192373452821479
"54",0,0.807626547178521,0.340141004757767,0.340141004757767
"55",0,0,0.467485542420753,0.190749460930155
"56",0,0,0,0.276736081490598
"57",1,0.145699742962229,0.145699742962229,0.145699742962229
"58",0,0.854300257037771,0.11844714514503,0.11844714514503
"59",0,0,0.735853111892741,0.289785148867916
"60",0,0,0,0.446067963024825
"61",1,0.154270316077654,0.154270316077654,0.154270316077654
"62",0,0.845729683922346,0.0167802038543722,0.0167802038543721
"63",0,0,0.828949480067974,0.353784328998836
"64",0,0,0,0.475165151069137
"65",1,0.509949100367802,0.509949100367802,0.509949100367802
"66",0,0.490050899632198,0.376090317443307,0.376090317443307
"67",0,0,0.113960582188891,0.0675775029385153
"68",0,0,0,0.0463830792503756
"69",1,0,0,0
"70",0,1,0,0
"71",0,0,1,0
"72",0,0,0,1
"73",1,0.0341461458718687,0.0341461458718687,0.0341461458718687
"74",0,0.965853854128131,0.142497722062066,0.142497722062066
"75",0,0,0.823356132066065,0.0683772880399489
"76",0,0,0,0.754978844026116
