"time"	"n.risk"	"n.event"	"n.censored"
0	810	0	12
0.0829999968409538	798	10	12
0.166999995708466	776	4	12
0.25	760	3	12
0.333000004291534	745	3	12
0.416999995708466	730	0	12
0.5	718	3	36
0.75	679	5	36
1	638	4	35
1.25	599	5	36
1.5	558	3	35
1.75	520	2	35
2	483	2	30
2.25	451	0	31
2.5	420	0	31
2.75	389	0	30
3	359	0	35
3.25	324	0	35
3.5	289	0	35
3.75	254	0	34
4	220	0	20
4.25	200	0	21
4.5	179	1	20
4.75	158	0	0
5	138	0	0
