"time"	"n.risk"	"n.event"	"n.censored"
0	459	0	6
0.0829999968409538	453	1	6
0.166999995708466	446	0	6
0.25	440	0	6
0.333000004291534	434	0	6
0.416999995708466	428	1	7
0.5	420	0	18
0.75	402	3	18
1	381	0	21
1.25	360	0	22
1.5	338	3	22
1.75	313	0	21
2	292	3	16
2.25	273	1	16
2.5	256	0	16
2.75	240	0	16
3	224	1	19
3.25	204	0	19
3.5	185	1	19
3.75	165	6	19
4	140	0	14
4.25	126	3	14
4.5	109	0	14
4.75	95	1	0
5	80	1	0
