"time"	"n.risk"	"n.event"	"n.censored"
0	165	0	3
0.0829999968409538	162	0	5
0.166999995708466	157	0	4
0.25	153	0	3
0.333000004291534	150	0	5
0.416999995708466	145	0	4
0.5	141	2	12
0.75	127	1	11
1	115	2	7
1.25	106	0	8
1.5	98	2	8
1.75	88	0	7
2	81	2	7
2.25	72	0	7
2.5	65	0	7
2.75	58	0	6
3	52	0	7
3.25	45	1	8
3.5	36	0	7
3.75	29	1	7
4	21	0	2
4.25	19	0	3
4.5	16	0	3
4.75	13	0	0
5	11	0	0
