"time"	"n.risk"	"n.event"	"n.censored"
0	82	0	1
0.0829999968409538	81	0	1
0.166999995708466	80	0	1
0.25	79	0	1
0.333000004291534	78	0	1
0.416999995708466	77	0	1
0.5	76	0	3
0.75	73	0	3
1	70	0	3
1.25	67	0	4
1.5	63	0	4
1.75	59	0	3
2	56	2	4
2.25	50	0	5
2.5	45	0	5
2.75	40	0	4
3	36	0	4
3.25	32	0	4
3.5	28	0	4
3.75	24	1	4
4	19	0	1
4.25	18	0	1
4.5	17	0	1
4.75	16	0	0
5	15	0	0
