"time"	"n.risk"	"n.event"	"n.censored"
0	406	0	6
0.0829999968409538	400	0	7
0.166999995708466	393	0	7
0.25	386	0	7
0.333000004291534	379	0	7
0.416999995708466	372	1	7
0.5	364	2	20
0.75	342	1	20
1	321	0	18
1.25	303	0	19
1.5	284	1	18
1.75	265	2	18
2	245	3	17
2.25	225	0	17
2.5	208	0	17
2.75	191	0	16
3	175	1	14
3.25	160	0	15
3.5	145	0	14
3.75	131	0	14
4	117	0	11
4.25	106	0	11
4.5	95	0	11
4.75	84	0	0
5	73	0	0
