"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.999933893038648
3	0.166999995708466	0.999933893038648
4	0.25	0.999933893038648
5	0.333000004291534	0.999933893038648
6	0.416999995708466	0.996
7	0.5	0.991
8	0.75	0.989
9	1	0.989
10	1.25	0.989
11	1.5	0.984
12	1.75	0.978
13	2	0.967
14	2.25	0.967
15	2.5	0.964
16	2.75	0.964
17	3	0.961
18	3.25	0.961
19	3.5	0.961
20	3.75	0.961
21	4	0.961
22	4.25	0.961
23	4.5	0.961
24	4.75	0.961
25	5	0.961
