NCRAS_Draw	Stage	Months	OS	CSS	Age
Uterus	Unknown/missing	5.003999948501587	0	0.6476784515380859	80-84 years
Uterus	Unknown/missing	6	0	0.626672134399414	80-84 years
Uterus	Unknown/missing	9	0	0.5655741882324219	80-84 years
Uterus	Unknown/missing	12	0	0.5226992797851563	80-84 years
Uterus	Unknown/missing	15	0	0.4768054962158203	80-84 years
Uterus	Unknown/missing	18	0	0.42988033294677735	80-84 years
Uterus	Unknown/missing	21	0	0.403740234375	80-84 years
Uterus	Unknown/missing	24	0	0.39489456176757814	80-84 years
Uterus	Unknown/missing	27	0	0.37212596893310546	80-84 years
Uterus	Unknown/missing	30	0	0.3463682556152344	80-84 years
Uterus	Unknown/missing	33	0	0.3229140090942383	80-84 years
Uterus	Unknown/missing	36	0	0.30217531204223635	80-84 years
Uterus	Unknown/missing	39	0	0.30220815658569333	80-84 years
Uterus	Unknown/missing	42	0	0.2949892234802246	80-84 years
Uterus	Unknown/missing	45	0	0.3004302406311035	80-84 years
Uterus	Unknown/missing	48	0	0.2981966781616211	80-84 years
Uterus	Unknown/missing	51	0	0.30440866470336914	80-84 years
Uterus	Unknown/missing	54	0	0.3107204055786133	80-84 years
Uterus	Unknown/missing	57	0	0.3056889724731445	80-84 years
Uterus	Unknown/missing	60	0	0.3119990921020508	80-84 years
Urothelial Tract	I	0.9959999620914459	0	0.9910453796386719	80-84 years
Urothelial Tract	I	2.003999948501587	0	0.9747458648681641	80-84 years
Urothelial Tract	I	3	0	0.9652305603027344	80-84 years
Urothelial Tract	I	3.996000051498413	0	0.9627754974365235	80-84 years
Urothelial Tract	I	5.003999948501587	0	0.96773681640625	80-84 years
Urothelial Tract	I	6	0	0.9727227020263672	80-84 years
Urothelial Tract	I	9	0	0.9562427520751953	80-84 years
Urothelial Tract	I	12	0	0.9212530517578125	80-84 years
Urothelial Tract	I	15	0	0.9113035583496094	80-84 years
Urothelial Tract	I	18	0	0.8997809600830078	80-84 years
Urothelial Tract	I	21	0	0.8679306030273437	80-84 years
Urothelial Tract	I	24	0	0.8635847473144531	80-84 years
Urothelial Tract	I	27	0	0.8589756774902344	80-84 years
Urothelial Tract	I	30	0	0.8505176544189453	80-84 years
Urothelial Tract	I	33	0	0.827259292602539	80-84 years
Urothelial Tract	I	36	0	0.8281680297851562	80-84 years
Urothelial Tract	I	39	0	0.8306791687011719	80-84 years
Urothelial Tract	I	42	0	0.8310065460205078	80-84 years
