"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.820836
3	0.166999995708466	0.649636
4	0.25	0.586756
5	0.333000004291534	0.5476
6	0.416999995708466	0.481636
7	0.5	0.426409
8	0.75	0.368449
9	1	0.341056
10	1.25	0.295936
11	1.5	0.256036
12	1.75	0.234256
13	2	0.2116
14	2.25	0.1936
15	2.5	0.189225
16	2.75	0.184041
17	3	0.184041
18	3.25	0.173056
19	3.5	0.151321
20	3.75	0.151321
21	4	0.1369
22	4.25	0.120409
23	4.5	0.112225
24	4.75	0.112225
25	5	0.112225
