"time"	"n.risk"	"n.event"	"n.censored"
0	92	0	0
0.0829999968409538	92	0	1
0.166999995708466	91	0	0
0.25	91	0	1
0.333000004291534	90	0	0
0.416999995708466	90	0	1
0.5	89	0	2
0.75	87	0	1
1	86	1	5
1.25	80	0	6
1.5	74	1	5
1.75	68	2	5
2	61	2	4
2.25	55	3	4
2.5	48	1	4
2.75	43	0	3
3	40	0	3
3.25	37	1	4
3.5	32	1	3
3.75	28	1	3
4	24	0	2
4.25	22	1	3
4.5	18	0	2
4.75	16	0	0
5	14	0	0
