Age	NCRAS_Draw	Stage	Months	CSS
67	Uterus	II	60	0.7720112304687501
68	Uterus	II	60	0.7626532211303712
69	Uterus	II	60	0.7590363235473633
70	Uterus	II	60	0.7554194259643554
71	Uterus	II	60	0.7518025283813476
72	Uterus	II	60	0.7481856307983398
73	Uterus	II	60	0.7371893463134765
74	Uterus	II	60	0.7188136749267577
75	Uterus	II	60	0.700438003540039
76	Uterus	II	60	0.6820623321533203
77	Uterus	II	60	0.6636866607666015
78	Uterus	II	60	0.6550047149658204
79	Uterus	II	60	0.6560164947509766
80	Uterus	II	60	0.6570282745361329
81	Uterus	II	60	0.6580400543212891
82	Uterus	II	60	0.6590518341064453
83	Uterus	II	60	0.6595577239990235
84	Uterus	II	60	0.6595577239990235
85	Uterus	II	60	0.6595577239990235
86	Uterus	II	60	0.6595577239990235
87	Uterus	II	60	0.6595577239990235
88	Uterus	II	60	0.6595577239990235
89	Uterus	II	60	0.6595577239990235
90	Uterus	II	60	0.6595577239990235
91	Uterus	II	60	0.6595577239990235
92	Uterus	II	60	0.6595577239990235
93	Uterus	II	60	0.6595577239990235
94	Uterus	II	60	0.6595577239990235
95	Uterus	II	60	0.6595577239990235
96	Uterus	II	60	0.6595577239990235
97	Uterus	II	60	0.6595577239990235
98	Uterus	II	60	0.6595577239990235
99	Uterus	II	60	0.6595577239990235
100	Uterus	II	60	0.6595577239990235
0	Uterus	III	60	0.8199993133544922
1	Uterus	III	60	0.8199993133544922
2	Uterus	III	60	0.8199993133544922
3	Uterus	III	60	0.8199993133544922
4	Uterus	III	60	0.8199993133544922
5	Uterus	III	60	0.8199993133544922
6	Uterus	III	60	0.8199993133544922
7	Uterus	III	60	0.8199993133544922
8	Uterus	III	60	0.8199993133544922
9	Uterus	III	60	0.8199993133544922
10	Uterus	III	60	0.8199993133544922
11	Uterus	III	60	0.8199993133544922
12	Uterus	III	60	0.8199993133544922
13	Uterus	III	60	0.8199993133544922
14	Uterus	III	60	0.8199993133544922
15	Uterus	III	60	0.8199993133544922
16	Uterus	III	60	0.8199993133544922
17	Uterus	III	60	0.8199993133544922
18	Uterus	III	60	0.8199993133544922
19	Uterus	III	60	0.8199993133544922
20	Uterus	III	60	0.8199993133544922
21	Uterus	III	60	0.8199993133544922
22	Uterus	III	60	0.8199993133544922
23	Uterus	III	60	0.8199993133544922
24	Uterus	III	60	0.8199993133544922
25	Uterus	III	60	0.8199993133544922
26	Uterus	III	60	0.8199993133544922
27	Uterus	III	60	0.8199993133544922
28	Uterus	III	60	0.8199993133544922
29	Uterus	III	60	0.8199993133544922
30	Uterus	III	60	0.8199993133544922
31	Uterus	III	60	0.8199993133544922
32	Uterus	III	60	0.8199993133544922
33	Uterus	III	60	0.8199993133544922
34	Uterus	III	60	0.8199993133544922
35	Uterus	III	60	0.8199993133544922
36	Uterus	III	60	0.7938707529703776
37	Uterus	III	60	0.767742192586263
38	Uterus	III	60	0.7416136322021484
39	Uterus	III	60	0.7154850718180339
40	Uterus	III	60	0.6893565114339193
41	Uterus	III	60	0.6632279510498047
42	Uterus	III	60	0.6370993906656901
43	Uterus	III	60	0.635351089477539
44	Uterus	III	60	0.6579830474853515
45	Uterus	III	60	0.6806150054931641
46	Uterus	III	60	0.7032469635009766
47	Uterus	III	60	0.7258789215087891
48	Uterus	III	60	0.7368291702270507
49	Uterus	III	60	0.7360977096557617
50	Uterus	III	60	0.7353662490844727
51	Uterus	III	60	0.7346347885131836
52	Uterus	III	60	0.7339033279418946
53	Uterus	III	60	0.7237763786315918
54	Uterus	III	60	0.7042539405822754
55	Uterus	III	60	0.684731502532959
56	Uterus	III	60	0.6652090644836426
57	Uterus	III	60	0.6456866264343262
58	Uterus	III	60	0.6306290168762207
59	Uterus	III	60	0.6200362358093261
60	Uterus	III	60	0.6094434547424317
61	Uterus	III	60	0.598850673675537
62	Uterus	III	60	0.5882578926086426
63	Uterus	III	60	0.5750696449279784
64	Uterus	III	60	0.5592859306335449
65	Uterus	III	60	0.5435022163391112
66	Uterus	III	60	0.5277185020446777
67	Uterus	III	60	0.511934787750244
68	Uterus	III	60	0.49552591705322263
69	Uterus	III	60	0.47849188995361325
70	Uterus	III	60	0.4614578628540039
71	Uterus	III	60	0.44442383575439454
72	Uterus	III	60	0.42738980865478515
73	Uterus	III	60	0.4162192878723145
74	Uterus	III	60	0.41091227340698244
75	Uterus	III	60	0.4056052589416504
76	Uterus	III	60	0.40029824447631834
77	Uterus	III	60	0.3949912300109863
78	Uterus	III	60	0.38302930068969726
79	Uterus	III	60	0.36441245651245113
80	Uterus	III	60	0.34579561233520506
81	Uterus	III	60	0.327178768157959
82	Uterus	III	60	0.30856192398071286
83	Uterus	III	60	0.2992535018920898
84	Uterus	III	60	0.2992535018920898
85	Uterus	III	60	0.2992535018920898
86	Uterus	III	60	0.2992535018920898
87	Uterus	III	60	0.2992535018920898
88	Uterus	III	60	0.2992535018920898
89	Uterus	III	60	0.2992535018920898
90	Uterus	III	60	0.2992535018920898
91	Uterus	III	60	0.2992535018920898
92	Uterus	III	60	0.2992535018920898
93	Uterus	III	60	0.2992535018920898
94	Uterus	III	60	0.2992535018920898
95	Uterus	III	60	0.2992535018920898
96	Uterus	III	60	0.2992535018920898
97	Uterus	III	60	0.2992535018920898
98	Uterus	III	60	0.2992535018920898
99	Uterus	III	60	0.2992535018920898
100	Uterus	III	60	0.2992535018920898
0	Uterus	IV	60	0.3401152420043945
1	Uterus	IV	60	0.3401152420043945
2	Uterus	IV	60	0.3401152420043945
3	Uterus	IV	60	0.3401152420043945
4	Uterus	IV	60	0.3401152420043945
5	Uterus	IV	60	0.3401152420043945
6	Uterus	IV	60	0.3401152420043945
7	Uterus	IV	60	0.3401152420043945
8	Uterus	IV	60	0.3401152420043945
9	Uterus	IV	60	0.3401152420043945
10	Uterus	IV	60	0.3401152420043945
11	Uterus	IV	60	0.3401152420043945
12	Uterus	IV	60	0.3401152420043945
13	Uterus	IV	60	0.3401152420043945
14	Uterus	IV	60	0.3401152420043945
15	Uterus	IV	60	0.3401152420043945
16	Uterus	IV	60	0.3401152420043945
17	Uterus	IV	60	0.3401152420043945
18	Uterus	IV	60	0.3401152420043945
19	Uterus	IV	60	0.3401152420043945
20	Uterus	IV	60	0.3401152420043945
21	Uterus	IV	60	0.3401152420043945
22	Uterus	IV	60	0.3401152420043945
23	Uterus	IV	60	0.3401152420043945
24	Uterus	IV	60	0.3401152420043945
25	Uterus	IV	60	0.3401152420043945
26	Uterus	IV	60	0.3401152420043945
27	Uterus	IV	60	0.3401152420043945
28	Uterus	IV	60	0.3401152420043945
29	Uterus	IV	60	0.3401152420043945
30	Uterus	IV	60	0.3401152420043945
31	Uterus	IV	60	0.3401152420043945
32	Uterus	IV	60	0.3401152420043945
33	Uterus	IV	60	0.3401152420043945
34	Uterus	IV	60	0.3401152420043945
35	Uterus	IV	60	0.3401152420043945
36	Uterus	IV	60	0.3401152420043945
37	Uterus	IV	60	0.3401152420043945
38	Uterus	IV	60	0.3401152420043945
39	Uterus	IV	60	0.3401152420043945
40	Uterus	IV	60	0.3401152420043945
41	Uterus	IV	60	0.3401152420043945
42	Uterus	IV	60	0.3401152420043945
43	Uterus	IV	60	0.33791513061523437
44	Uterus	IV	60	0.33351490783691407
45	Uterus	IV	60	0.32911468505859376
46	Uterus	IV	60	0.32471446228027345
47	Uterus	IV	60	0.32031423950195315
48	Uterus	IV	60	0.3065024814605713
49	Uterus	IV	60	0.28327918815612796
50	Uterus	IV	60	0.26005589485168457
51	Uterus	IV	60	0.23683260154724123
52	Uterus	IV	60	0.21360930824279784
53	Uterus	IV	60	0.20674299812316893
54	Uterus	IV	60	0.2162336711883545
55	Uterus	IV	60	0.22572434425354004
56	Uterus	IV	60	0.23521501731872557
57	Uterus	IV	60	0.24470569038391113
58	Uterus	IV	60	0.2462211112976074
59	Uterus	IV	60	0.23976128005981445
60	Uterus	IV	60	0.23330144882202147
61	Uterus	IV	60	0.2268416175842285
62	Uterus	IV	60	0.22038178634643554
63	Uterus	IV	60	0.21749386596679687
64	Uterus	IV	60	0.21817785644531248
65	Uterus	IV	60	0.21886184692382812
66	Uterus	IV	60	0.21954583740234376
67	Uterus	IV	60	0.22022982788085937
68	Uterus	IV	60	0.21100450611114502
69	Uterus	IV	60	0.1918698720932007
70	Uterus	IV	60	0.17273523807525634
71	Uterus	IV	60	0.15360060405731202
72	Uterus	IV	60	0.13446597003936767
73	Uterus	IV	60	0.12701668643951416
74	Uterus	IV	60	0.13125275325775146
75	Uterus	IV	60	0.13548882007598878
76	Uterus	IV	60	0.13972488689422607
77	Uterus	IV	60	0.1439609537124634
78	Uterus	IV	60	0.13672272491455079
79	Uterus	IV	60	0.11801020050048829
80	Uterus	IV	60	0.09929767608642578
81	Uterus	IV	60	0.08058515167236328
82	Uterus	IV	60	0.06187262725830077
83	Uterus	IV	60	0.05251636505126953
84	Uterus	IV	60	0.05251636505126953
85	Uterus	IV	60	0.05251636505126953
86	Uterus	IV	60	0.05251636505126953
87	Uterus	IV	60	0.05251636505126953
88	Uterus	IV	60	0.05251636505126953
89	Uterus	IV	60	0.05251636505126953
90	Uterus	IV	60	0.05251636505126953
91	Uterus	IV	60	0.05251636505126953
92	Uterus	IV	60	0.05251636505126953
93	Uterus	IV	60	0.05251636505126953
94	Uterus	IV	60	0.05251636505126953
95	Uterus	IV	60	0.05251636505126953
96	Uterus	IV	60	0.05251636505126953
97	Uterus	IV	60	0.05251636505126953
98	Uterus	IV	60	0.05251636505126953
99	Uterus	IV	60	0.05251636505126953
100	Uterus	IV	60	0.05251636505126953
0	Urothelial Tract	I	60	0.8533794403076171
1	Urothelial Tract	I	60	0.8533794403076171
2	Urothelial Tract	I	60	0.8533794403076171
3	Urothelial Tract	I	60	0.8533794403076171
4	Urothelial Tract	I	60	0.8533794403076171
5	Urothelial Tract	I	60	0.8533794403076171
6	Urothelial Tract	I	60	0.8533794403076171
7	Urothelial Tract	I	60	0.8533794403076171
8	Urothelial Tract	I	60	0.8533794403076171
9	Urothelial Tract	I	60	0.8533794403076171
10	Urothelial Tract	I	60	0.8533794403076171
11	Urothelial Tract	I	60	0.8533794403076171
12	Urothelial Tract	I	60	0.8533794403076171
13	Urothelial Tract	I	60	0.8533794403076171
14	Urothelial Tract	I	60	0.8533794403076171
15	Urothelial Tract	I	60	0.8533794403076171
