"time"	"n.risk"	"n.event"	"n.censored"
0	13236	0	181
0.0829999968409538	13055	1	185
0.166999995708466	12869	0	182
0.25	12687	0	181
0.333000004291534	12506	0	185
0.416999995708466	12321	0	182
0.5	12139	0	548
0.75	11591	0	547
1	11044	0	558
1.25	10486	0	558
1.5	9928	0	558
1.75	9370	9	558
2	8803	0	581
2.25	8222	8	582
2.5	7632	8	581
2.75	7043	7	581
3	6455	0	560
3.25	5895	0	561
3.5	5334	5	560
3.75	4769	5	560
4	4204	4	408
4.25	3792	0	408
4.5	3384	4	408
4.75	2972	6	0
5	2558	2	0
