"time"	"n.risk"	"n.event"	"n.censored"
0	1629	0	27
0.0829999968409538	1602	5	27
0.166999995708466	1570	0	28
0.25	1542	0	27
0.333000004291534	1515	1	27
0.416999995708466	1487	0	28
0.5	1459	2	82
0.75	1375	0	81
1	1294	2	79
1.25	1213	3	79
1.5	1131	4	79
1.75	1048	0	79
2	969	0	74
2.25	895	1	74
2.5	820	3	74
2.75	743	4	74
3	665	1	64
3.25	600	0	64
3.5	536	2	64
3.75	470	0	64
4	406	0	40
4.25	366	3	41
4.5	322	1	41
4.75	280	0	0
5	240	0	0
