"time"	"n.risk"	"n.event"	"n.censored"
0	852	0	13
0.0829999968409538	839	0	15
0.166999995708466	824	2	14
0.25	808	0	13
0.333000004291534	795	0	15
0.416999995708466	780	0	14
0.5	766	0	42
0.75	724	6	41
1	677	4	36
1.25	637	4	37
1.5	596	4	36
1.75	556	8	36
2	512	3	35
2.25	474	1	36
2.5	437	1	35
2.75	401	3	35
3	363	3	30
3.25	330	3	31
3.5	296	1	30
3.75	265	2	30
4	233	3	24
4.25	206	2	25
4.5	179	2	25
4.75	152	0	0
5	128	3	0
