"time"	"n.risk"	"n.event"	"n.censored"
0	749	0	11
0.0829999968409538	738	4	12
0.166999995708466	722	4	11
0.25	707	1	11
0.333000004291534	695	3	12
0.416999995708466	680	2	12
0.5	666	4	34
0.75	628	11	34
1	583	13	27
1.25	543	12	27
1.5	504	10	27
1.75	467	8	26
2	433	6	25
2.25	402	4	25
2.5	373	4	25
2.75	344	3	25
3	316	7	30
3.25	279	0	30
3.5	249	3	30
3.75	216	1	30
4	185	1	19
4.25	165	3	19
4.5	143	1	19
4.75	123	1	0
5	103	1	0
