"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.998
3	0.166999995708466	0.998
4	0.25	0.997
5	0.333000004291534	0.995
6	0.416999995708466	0.994
7	0.5	0.994
8	0.75	0.991
9	1	0.983
10	1.25	0.979
11	1.5	0.977
12	1.75	0.971
13	2	0.963
14	2.25	0.959
15	2.5	0.957
16	2.75	0.953
17	3	0.953
18	3.25	0.952
19	3.5	0.948
20	3.75	0.948
21	4	0.945
22	4.25	0.941
23	4.5	0.932
24	4.75	0.929
25	5	0.921
