"time"	"n.risk"	"n.event"	"n.censored"
0	95	0	2
0.0829999968409538	93	1	2
0.166999995708466	90	0	3
0.25	87	0	2
0.333000004291534	85	0	3
0.416999995708466	82	1	2
0.5	79	4	7
0.75	68	4	7
1	57	3	4
1.25	50	1	4
1.5	45	3	4
1.75	38	1	4
2	33	0	3
2.25	30	2	3
2.5	25	1	3
2.75	21	0	2
3	19	0	1
3.25	18	0	2
3.5	16	0	2
3.75	14	0	1
4	13	0	1
4.25	12	0	2
4.5	10	0	2
4.75	8	0	0
5	7	0	0
