"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.999933893038648
3	0.166999995708466	0.999933893038648
4	0.25	0.999
5	0.333000004291534	0.999
6	0.416999995708466	0.999
7	0.5	0.998
8	0.75	0.996
9	1	0.994
10	1.25	0.992
11	1.5	0.992
12	1.75	0.991
13	2	0.988
14	2.25	0.988
15	2.5	0.988
16	2.75	0.988
17	3	0.985
18	3.25	0.984
19	3.5	0.982
20	3.75	0.981
21	4	0.978
22	4.25	0.977
23	4.5	0.977
24	4.75	0.977
25	5	0.975
