"time"	"n.risk"	"n.event"	"n.censored"
0	595	0	18
0.0829999968409538	577	0	19
0.166999995708466	558	0	19
0.25	539	0	19
0.333000004291534	520	0	19
0.416999995708466	501	0	19
0.5	482	0	57
0.75	425	0	56
1	369	0	26
1.25	343	0	27
1.5	316	0	27
1.75	289	0	26
2	263	0	22
2.25	241	0	22
2.5	219	0	22
2.75	197	0	21
3	176	0	19
3.25	157	0	19
3.5	138	0	19
3.75	119	0	19
4	100	0	11
4.25	89	0	12
4.5	77	0	12
4.75	65	0	0
5	54	0	0
