disc_health
disc_cost
annual_compliance
sensitivity
mced_specificity
accuracy
perc_overdiagnosis
mced_cost
costs_cancer_tx
costs_workup_FP
dur_workup_FP
disutil_FP
costs_workup_misdiagnosis
dur_workup_misdiagnosis
disutil_misdiagnosis
incidence
survival
util_cancer
