"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.956
3	0.166999995708466	0.899
4	0.25	0.824
5	0.333000004291534	0.761
6	0.416999995708466	0.69
7	0.5	0.653
8	0.75	0.476
9	1	0.362
10	1.25	0.269
11	1.5	0.209
12	1.75	0.157
13	2	0.121
14	2.25	0.091
15	2.5	0.082
16	2.75	0.075
17	3	0.071
18	3.25	0.071
19	3.5	0.062
20	3.75	0.062
21	4	0.062
22	4.25	0.056
23	4.5	0.056
24	4.75	0.056
25	5	0.056
