"","MCED+SoC","SoC"
"1",19.9177778400485,19.7584674637918
"2",19.5562060755627,19.5562060755627
"3",20.486783749905,20.0767664476792
"4",13.7303295839667,13.9478093810551
"5",6.75645416593827,6.12895706662409
"6",16.2327821037618,16.1064264839396
"7",16.1960739190742,16.1960739190742
"8",16.4332587428222,16.1020829784938
"9",11.5329433558768,11.7131892078933
"10",4.90031538694538,4.38889377060057
"11",-0.0547331509010198,-0.0531276784627173
"12",-0.00012132651501839,0
"13",-0.0005944329958429,0
"14",38854.5496474862,38854.5496474862
"15",15908.8545074837,13157.9615074123
"16",13419.0796139881,11603.0835429675
"17",4914.91157282674,5952.3349678235
"18",4611.70395318763,8141.1696292829
"19",301.026034489424,0
"20",138.973246500668,0
"21",122.703648146879,0
"22",39.3491398418774,0
"23",0,0
"24",329433.517698264,320359.380420949
"25",868.68870517303,0
"26",15026.7749898125,16859.6762078314
"27",4267.15646235178,3358.70730359042
"28",4062.55730014002,3183.76656549662
"29",2835.84284701579,3424.4174393877
"30",3861.21838030486,6892.78489935667
"31",104687.957904423,95395.96707276
"32",22326.0076523215,8187.59446727577
"33",22326.0076523215,8187.59446727577
"34",0,0
"35",68777.4651096678,74047.5321861984
"36",20207.7859179832,15099.1899830863
"37",20330.8536960532,14990.9314476522
"38",13243.8865474461,15766.463038683
"39",14994.9389481853,28190.9477167768
"40",13584.4851424338,13160.8404192859
"41",25.9355220412083,0
"42",13558.5496203926,13160.8404192859
"43",0,0
"44",175931.21007911,190576.220437519
"45",51565.8685528121,38860.8029692174
"46",51854.8696389089,38582.1778495948
"47",33917.9799289723,40578.164415047
"48",38592.4919584172,72555.0752036596
"49",6136.63621553271,0
"50",2750.89300007145,0
"51",2547.77589742249,0
"52",837.967318038765,0
"53",0,0
"54",7.26459321048912,0
"55",5.32966237879971,0
"56",240375.674714776,0
"57",80443.028420497,0
"58",109369.637757126,0
"59",50563.0085371527,0
"60",0,0
"61",20102.599698431,15580.0181171533
"62",38300.3636846541,31492.8438507895
"63",55810.8046672511,47443.2049767767
"64",71986.7175309993,62765.1411623366
"65",85332.0004560301,75590.5032208435
"66",95283.7342672333,85297.3599937089
